능동 앉은자세 고관절 내회전 30도,수동 앉은자세 고관절 내회전 30도,능동 엎드린자세 고관절 내회전 30도,수동 엎드린자세 고관절 내회전 30도,롤링,result
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:P:5_12:true,NaN
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:X:5_12:true,능동 엎드린자세 고관절 내회전 30도:X_P:5_13:false,수동 엎드린자세 고관절 내회전 30도:P:5_14:true,NaN
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:X:5_12:true,능동 엎드린자세 고관절 내회전 30도:X_P:5_13:false,수동 엎드린자세 고관절 내회전 30도:X:5_14:true,NaN
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:X:5_12:true,능동 엎드린자세 고관절 내회전 30도:X_P:5_13:false,수동 엎드린자세 고관절 내회전 30도:O:5_14:true,롤링:P:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:X:5_12:true,능동 엎드린자세 고관절 내회전 30도:X_P:5_13:false,수동 엎드린자세 고관절 내회전 30도:O:5_14:true,롤링:X:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:X:5_12:true,능동 엎드린자세 고관절 내회전 30도:X_P:5_13:false,수동 엎드린자세 고관절 내회전 30도:O:5_14:true,롤링:O:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:X:5_12:true,능동 엎드린자세 고관절 내회전 30도:O:5_13:true,,롤링:P:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:X:5_12:true,능동 엎드린자세 고관절 내회전 30도:O:5_13:true,,롤링:X:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:X:5_12:true,능동 엎드린자세 고관절 내회전 30도:O:5_13:true,,롤링:O:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:O:5_12:false,능동 엎드린자세 고관절 내회전 30도:X_P:5_13:false,수동 엎드린자세 고관절 내회전 30도:P:5_14:true,NaN
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:O:5_12:false,능동 엎드린자세 고관절 내회전 30도:X_P:5_13:false,수동 엎드린자세 고관절 내회전 30도:X:5_14:true,NaN
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:O:5_12:false,능동 엎드린자세 고관절 내회전 30도:X_P:5_13:false,수동 엎드린자세 고관절 내회전 30도:O:5_14:true,롤링:P:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:O:5_12:false,능동 엎드린자세 고관절 내회전 30도:X_P:5_13:false,수동 엎드린자세 고관절 내회전 30도:O:5_14:true,롤링:X:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:O:5_12:false,능동 엎드린자세 고관절 내회전 30도:X_P:5_13:false,수동 엎드린자세 고관절 내회전 30도:O:5_14:true,롤링:O:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:O:5_12:false,능동 엎드린자세 고관절 내회전 30도:O:5_13:true,,롤링:P:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:O:5_12:false,능동 엎드린자세 고관절 내회전 30도:O:5_13:true,,롤링:X:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:X_P:5_11:false,수동 앉은자세 고관절 내회전 30도:O:5_12:false,능동 엎드린자세 고관절 내회전 30도:O:5_13:true,,롤링:O:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:O:5_11:false,,능동 엎드린자세 고관절 내회전 30도:X_P:5_13:false,수동 엎드린자세 고관절 내회전 30도:P:5_14:true,NaN
능동 앉은자세 고관절 내회전 30도:O:5_11:false,,능동 엎드린자세 고관절 내회전 30도:X_P:5_13:false,수동 엎드린자세 고관절 내회전 30도:X:5_14:true,NaN
능동 앉은자세 고관절 내회전 30도:O:5_11:false,,능동 엎드린자세 고관절 내회전 30도:X_P:5_13:false,수동 엎드린자세 고관절 내회전 30도:O:5_14:true,롤링:P:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:O:5_11:false,,능동 엎드린자세 고관절 내회전 30도:X_P:5_13:false,수동 엎드린자세 고관절 내회전 30도:O:5_14:true,롤링:X:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:O:5_11:false,,능동 엎드린자세 고관절 내회전 30도:X_P:5_13:false,수동 엎드린자세 고관절 내회전 30도:O:5_14:true,롤링:O:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:O:5_11:false,,능동 엎드린자세 고관절 내회전 30도:O:5_13:true,,롤링:P:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:O:5_11:false,,능동 엎드린자세 고관절 내회전 30도:O:5_13:true,,롤링:X:4_11:true,NaN
능동 앉은자세 고관절 내회전 30도:O:5_11:false,,능동 엎드린자세 고관절 내회전 30도:O:5_13:true,,롤링:O:4_11:true,NaN
