뒤꿈치걷기 10걸음,수동 배층굴곡 20~30도,발끝걷기 10걸음,수동 저측굴곡 30~40도,능동 앉아서 발목 내반/외반,수동 앉아서 발목 내반/외반,result
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:P:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:P:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:P:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:P:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:P:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:X:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:P:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:P:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:O:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:P:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:P:6_9:true,능동 앉아서 발목 내반/외반:O:6_10:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:P:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:X:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:P:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:P:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:X:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:X:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:P:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:X:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:O:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:P:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:X:6_9:true,능동 앉아서 발목 내반/외반:O:6_10:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:P:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:O:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:P:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:P:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:O:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:X:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:P:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:O:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:O:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:P:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:O:6_9:true,능동 앉아서 발목 내반/외반:O:6_10:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:P:6_7:true,발끝걷기 10걸음:O:6_8:false,,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:P:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:P:6_7:true,발끝걷기 10걸음:O:6_8:false,,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:X:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:P:6_7:true,발끝걷기 10걸음:O:6_8:false,,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:O:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:P:6_7:true,발끝걷기 10걸음:O:6_8:false,,능동 앉아서 발목 내반/외반:O:6_10:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:X:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:P:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:P:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:X:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:P:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:X:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:X:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:P:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:O:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:X:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:P:6_9:true,능동 앉아서 발목 내반/외반:O:6_10:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:X:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:X:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:P:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:X:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:X:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:X:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:X:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:X:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:O:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:X:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:X:6_9:true,능동 앉아서 발목 내반/외반:O:6_10:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:X:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:O:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:P:6_11:true,NaN
뒤꿈치걷기 10걸음:X_P:6_6:false,수동 배층굴곡 20~30도:X:6_7:true,발끝걷기 10걸음:X_P:6_8:false,수동 저측굴곡 30~40도:O:6_9:true,능동 앉아서 발목 내반/외반:X_P:6_10:false,수동 앉아서 발목 내반/외반:X:6_11:true,NaN
